dataset,k,collection,TF,matrix_id,enrich_z,p,fdr
nt_promoter_all,4,vertebrates,Hoxa11,MA0911.2,6.144,4.02e-10,1.77e-07
nt_promoter_all,4,vertebrates,HOXC9,MA0485.3,5.669,7.19e-09,2.11e-06
nt_promoter_all,4,vertebrates,HOXA9,MA0594.3,5.587,1.16e-08,2.11e-06
nt_promoter_all,4,vertebrates,HOXC13,MA0907.2,5.58,1.2e-08,2.11e-06
nt_promoter_all,4,vertebrates,HOXB9,MA1503.2,5.303,5.71e-08,8.37e-06
nt_promoter_all,4,vertebrates,HOXC10,MA0905.2,5.268,6.91e-08,8.68e-06
nt_promoter_all,4,vertebrates,HOXC12,MA0906.2,4.768,9.3e-07,0.000102
nt_promoter_all,4,vertebrates,HOXD12,MA0873.2,4.67,1.5e-06,0.000138
nt_promoter_all,4,vertebrates,Atf1,MA0604.1,4.661,1.57e-06,0.000138
nt_promoter_all,4,vertebrates,HOXD10,MA1506.2,4.472,3.88e-06,0.00031
nt_promoter_all,4,vertebrates,TEF,MA0843.2,4.133,1.79e-05,0.00131
nt_promoter_all,4,vertebrates,Creb5,MA0840.2,4.084,2.21e-05,0.0015
nt_promoter_all,4,vertebrates,ZBED1,MA0749.2,3.958,3.79e-05,0.00238
nt_promoter_all,4,vertebrates,Hoxd13,MA0909.4,3.791,7.49e-05,0.00439
nt_promoter_all,4,vertebrates,DBP,MA0639.2,3.74,9.2e-05,0.00497
nt_promoter_all,4,vertebrates,GATA2,MA0036.4,3.729,9.6e-05,0.00497
nt_promoter_all,4,vertebrates,DMRT3,MA0610.2,3.672,0.00012,0.00588
nt_promoter_all,4,vertebrates,HOXC11,MA0651.3,3.573,0.000177,0.00817
nt_promoter_all,4,vertebrates,IRF6,MA1509.1,3.53,0.000208,0.00914
nt_promoter_all,4,vertebrates,ONECUT3,MA0757.2,3.371,0.000375,0.0157
nt_promoter_all,4,vertebrates,FOSL2::JUNB,MA1139.2,3.331,0.000433,0.0169
nt_promoter_all,4,vertebrates,HOXD12::ELK1,MA1958.2,3.324,0.000443,0.0169
nt_promoter_all,4,vertebrates,ATF3,MA0605.3,3.306,0.000473,0.0173
nt_promoter_all,4,vertebrates,Arid5a,MA0602.2,3.241,0.000595,0.0209
nt_promoter_all,4,vertebrates,JDP2,MA0656.2,3.115,0.000921,0.0311
nt_promoter_all,4,vertebrates,GLIS1,MA0735.2,3.062,0.0011,0.0351
nt_promoter_all,4,vertebrates,CEBPB,MA0466.4,3.057,0.00112,0.0351
nt_promoter_all,4,vertebrates,CEBPG,MA0838.1,3.026,0.00124,0.0376
nt_promoter_all,4,vertebrates,FOSL1::JUN,MA1129.1,2.979,0.00145,0.0411
nt_promoter_all,4,vertebrates,CREB3L4,MA1475.2,2.978,0.00145,0.0411
nt_promoter_all,4,vertebrates,TCF21,MA1568.2,2.968,0.0015,0.0412
nt_promoter_all,4,vertebrates,HOXD9,MA0913.3,2.923,0.00173,0.0462
nt_promoter_all,4,vertebrates,PBX2,MA1113.3,2.903,0.00185,0.0478
nt_promoter_all,4,vertebrates,MEIS2,MA1640.2,2.89,0.00193,0.0483
nt_promoter_no_tata,4,vertebrates,HOXD11,MA0908.2,6.215,2.57e-10,1.24e-07
nt_promoter_no_tata,4,vertebrates,Hoxa11,MA0911.2,6.2,2.82e-10,1.24e-07
nt_promoter_no_tata,4,vertebrates,HOXC13,MA0907.2,5.65,8.03e-09,2.24e-06
nt_promoter_no_tata,4,vertebrates,HOXC9,MA0485.3,5.609,1.02e-08,2.24e-06
nt_promoter_no_tata,4,vertebrates,HOXA9,MA0594.3,5.506,1.83e-08,3.22e-06
nt_promoter_no_tata,4,vertebrates,HOXC10,MA0905.2,5.352,4.35e-08,6.37e-06
nt_promoter_no_tata,4,vertebrates,HOXB9,MA1503.2,5.317,5.29e-08,6.64e-06
nt_promoter_no_tata,4,vertebrates,HOXC12,MA0906.2,4.711,1.23e-06,0.000135
nt_promoter_no_tata,4,vertebrates,HOXD12,MA0873.2,4.616,1.96e-06,0.000191
nt_promoter_no_tata,4,vertebrates,Atf1,MA0604.1,4.485,3.65e-06,0.000321
nt_promoter_no_tata,4,vertebrates,TEF,MA0843.2,4.323,7.69e-06,0.00058
nt_promoter_no_tata,4,vertebrates,HOXD10,MA1506.2,4.317,7.92e-06,0.00058
nt_promoter_no_tata,4,vertebrates,ZBED1,MA0749.2,4.101,2.05e-05,0.00139
nt_promoter_no_tata,4,vertebrates,Hoxd13,MA0909.4,4.043,2.64e-05,0.00162
nt_promoter_no_tata,4,vertebrates,Creb5,MA0840.2,4.032,2.77e-05,0.00162
nt_promoter_no_tata,4,vertebrates,DBP,MA0639.2,3.969,3.61e-05,0.00198
nt_promoter_no_tata,4,vertebrates,GATA2,MA0036.4,3.952,3.88e-05,0.002
nt_promoter_no_tata,4,vertebrates,DMRT3,MA0610.2,3.697,0.000109,0.00534
nt_promoter_no_tata,4,vertebrates,Arid5a,MA0602.2,3.624,0.000145,0.0067
nt_promoter_no_tata,4,vertebrates,ONECUT3,MA0757.2,3.554,0.00019,0.00834
nt_promoter_no_tata,4,vertebrates,HOXC11,MA0651.3,3.481,0.00025,0.0105
nt_promoter_no_tata,4,vertebrates,IRF6,MA1509.1,3.347,0.000409,0.0155
nt_promoter_no_tata,4,vertebrates,HOXD12::ELK1,MA1958.2,3.338,0.000423,0.0155
nt_promoter_no_tata,4,vertebrates,ATF3,MA0605.3,3.337,0.000423,0.0155
nt_promoter_no_tata,4,vertebrates,FOSL2::JUNB,MA1139.2,3.219,0.000644,0.0226
nt_promoter_no_tata,4,vertebrates,MEIS2,MA1640.2,3.195,0.000699,0.0228
nt_promoter_no_tata,4,vertebrates,PBX2,MA1113.3,3.194,0.0007,0.0228
nt_promoter_no_tata,4,vertebrates,TBP,MA0108.3,3.183,0.000729,0.0229
nt_promoter_no_tata,4,vertebrates,ZNF211,MA1974.2,3.114,0.000924,0.028
nt_promoter_no_tata,4,vertebrates,HOXD9,MA0913.3,3.082,0.00103,0.0298
nt_promoter_no_tata,4,vertebrates,HLF,MA0043.4,3.076,0.00105,0.0298
nt_promoter_no_tata,4,vertebrates,JDP2,MA0656.2,3.055,0.00113,0.0309
nt_promoter_no_tata,4,vertebrates,HOXA7,MA1498.3,3.018,0.00127,0.0339
nt_promoter_no_tata,4,vertebrates,HOXA10,MA0899.2,2.996,0.00137,0.0354
nt_promoter_no_tata,4,vertebrates,MEF2B,MA0660.1,2.967,0.0015,0.0378
nt_promoter_no_tata,4,vertebrates,TCF21,MA1568.2,2.953,0.00157,0.0384
nt_promoter_no_tata,4,vertebrates,NFIL3,MA0025.3,2.933,0.00168,0.0399
nt_promoter_no_tata,4,vertebrates,CEBPB,MA0466.4,2.912,0.00179,0.0415
nt_promoter_no_tata,4,vertebrates,CEBPG,MA0838.1,2.889,0.00193,0.0436
nt_promoter_no_tata,4,vertebrates,GATA5,MA0766.3,2.877,0.00201,0.0439
nt_promoter_no_tata,4,vertebrates,ELK1::HOXB13,MA1932.2,2.871,0.00205,0.0439
nt_promoter_no_tata,4,vertebrates,TRPS1,MA1970.2,2.853,0.00216,0.0453
nt_promoter_no_tata,4,vertebrates,FOXF2,MA0030.2,2.83,0.00233,0.0476
nt_splice_sites_all,6,vertebrates,EWSR1-FLI1,MA0149.1,9.047,7.32e-20,6.41e-17
nt_splice_sites_all,6,vertebrates,Elf5,MA0136.4,8.65,2.57e-18,1.13e-15
nt_splice_sites_all,6,vertebrates,ZNF680,MA1729.2,7.857,1.96e-15,5.72e-13
nt_splice_sites_all,6,vertebrates,Pparg::Rxra,MA0065.3,7.644,1.06e-14,2.31e-12
nt_splice_sites_all,6,vertebrates,Nfat5,MA0606.3,7.477,3.81e-14,5.58e-12
nt_splice_sites_all,6,vertebrates,Spi1,MA0080.7,7.476,3.82e-14,5.58e-12
nt_splice_sites_all,6,vertebrates,ZNF677,MA2101.1,7.038,9.72e-13,1.22e-10
nt_splice_sites_all,6,vertebrates,SPIB,MA0081.3,6.978,1.5e-12,1.64e-10
nt_splice_sites_all,6,vertebrates,ZNF175,MA2332.1,6.907,2.48e-12,2.42e-10
nt_splice_sites_all,6,vertebrates,ZKSCAN5,MA1652.2,6.717,9.26e-12,8.11e-10
nt_splice_sites_all,6,vertebrates,ELF3,MA0640.3,6.678,1.21e-11,9.64e-10
nt_splice_sites_all,6,vertebrates,ZNF257,MA1710.2,6.546,2.96e-11,2.16e-09
nt_splice_sites_all,6,vertebrates,ZNF418,MA1980.1,6.231,2.31e-10,1.56e-08
nt_splice_sites_all,6,vertebrates,EHF,MA0598.4,6.139,4.15e-10,2.43e-08
nt_splice_sites_all,6,vertebrates,GABPA,MA0062.4,6.139,4.16e-10,2.43e-08
nt_splice_sites_all,6,vertebrates,ZNF324,MA1977.2,6.129,4.44e-10,2.43e-08
nt_splice_sites_all,6,vertebrates,NKX2-8,MA0673.2,6.096,5.44e-10,2.8e-08
nt_splice_sites_all,6,vertebrates,ELF1,MA0473.4,6.022,8.59e-10,4.18e-08
nt_splice_sites_all,6,vertebrates,ZNF582,MA1983.2,6.007,9.47e-10,4.37e-08
nt_splice_sites_all,6,vertebrates,FOXP2,MA0593.2,5.881,2.03e-09,8.91e-08
nt_splice_sites_all,6,vertebrates,ZNF157,MA2331.1,5.784,3.64e-09,1.52e-07
nt_splice_sites_all,6,vertebrates,ZNF75A,MA2097.1,5.749,4.5e-09,1.74e-07
nt_splice_sites_all,6,vertebrates,Ikzf3,MA1992.2,5.746,4.56e-09,1.74e-07
nt_splice_sites_all,6,vertebrates,PRDM9,MA1723.2,5.708,5.71e-09,2.08e-07
nt_splice_sites_all,6,vertebrates,ZNF675,MA1714.2,5.489,2.02e-08,7.07e-07
nt_splice_sites_all,6,vertebrates,Irf1,MA0050.4,5.469,2.26e-08,7.62e-07
nt_splice_sites_all,6,vertebrates,ETV1,MA0761.3,5.402,3.29e-08,1.03e-06
nt_splice_sites_all,6,vertebrates,GATA4,MA0482.3,5.401,3.31e-08,1.03e-06
nt_splice_sites_all,6,vertebrates,ZNF16,MA1654.2,5.368,3.99e-08,1.2e-06
nt_splice_sites_all,6,vertebrates,ZNF75D,MA1601.2,5.315,5.32e-08,1.45e-06
nt_splice_sites_all,6,vertebrates,HMBOX1,MA0895.2,5.315,5.34e-08,1.45e-06
nt_splice_sites_all,6,vertebrates,Gata3,MA0037.5,5.314,5.37e-08,1.45e-06
nt_splice_sites_all,6,vertebrates,Pou5f1::Sox2,MA0142.1,5.311,5.45e-08,1.45e-06
nt_splice_sites_all,6,vertebrates,ETV6,MA0645.2,5.233,8.34e-08,2.15e-06
nt_splice_sites_all,6,vertebrates,Stat4,MA0518.2,5.2,9.96e-08,2.45e-06
nt_splice_sites_all,6,vertebrates,NR2C2,MA0504.2,5.198,1.01e-07,2.45e-06
nt_splice_sites_all,6,vertebrates,PRDM1,MA0508.4,5.166,1.2e-07,2.83e-06
nt_splice_sites_all,6,vertebrates,Stat2,MA1623.2,5.133,1.42e-07,3.28e-06
nt_splice_sites_all,6,vertebrates,FOXE1,MA1487.3,5.108,1.63e-07,3.65e-06
nt_splice_sites_all,6,vertebrates,FOXO1::FLI1,MA1956.2,5.092,1.77e-07,3.88e-06
nt_splice_sites_all,6,vertebrates,Rarb,MA0858.1,5.072,1.97e-07,4.21e-06
nt_splice_sites_all,6,vertebrates,Erg,MA0474.4,5.057,2.13e-07,4.45e-06
nt_splice_sites_all,6,vertebrates,GATA6,MA1104.3,5.031,2.43e-07,4.88e-06
nt_splice_sites_all,6,vertebrates,ZNF184,MA2120.1,5.03,2.45e-07,4.88e-06
nt_splice_sites_all,6,vertebrates,FOXS1,MA2118.1,5.005,2.79e-07,5.43e-06
nt_splice_sites_all,6,vertebrates,ZNF530,MA1981.2,4.998,2.9e-07,5.51e-06
nt_splice_sites_all,6,vertebrates,Rarg,MA0860.1,4.993,2.97e-07,5.54e-06
nt_splice_sites_all,6,vertebrates,ZNF274,MA1592.2,4.941,3.88e-07,6.97e-06
nt_splice_sites_all,6,vertebrates,ZNF384,MA1125.2,4.94,3.9e-07,6.97e-06
nt_splice_sites_all,6,vertebrates,PPARA::RXRA,MA1148.2,4.863,5.78e-07,1.01e-05
nt_splice_sites_all,6,vertebrates,ZNF528,MA1597.1,4.848,6.25e-07,1.07e-05
nt_splice_sites_all,6,vertebrates,MEF2A,MA0052.5,4.762,9.57e-07,1.61e-05
nt_splice_sites_all,6,vertebrates,Stat5a::Stat5b,MA0519.2,4.759,9.73e-07,1.61e-05
nt_splice_sites_all,6,vertebrates,TBP,MA0108.3,4.752,1.01e-06,1.63e-05
nt_splice_sites_all,6,vertebrates,TRPS1,MA1970.2,4.732,1.11e-06,1.77e-05
nt_splice_sites_all,6,vertebrates,ZIM3,MA1709.2,4.72,1.18e-06,1.84e-05
nt_splice_sites_all,6,vertebrates,Hnf1A,MA1991.2,4.699,1.31e-06,2.01e-05
nt_splice_sites_all,6,vertebrates,Mecom,MA0029.2,4.656,1.61e-06,2.44e-05
nt_splice_sites_all,6,vertebrates,FOXF2,MA0030.2,4.635,1.79e-06,2.63e-05
nt_splice_sites_all,6,vertebrates,TCF7L2,MA0523.2,4.633,1.8e-06,2.63e-05
nt_splice_sites_all,6,vertebrates,FOXO1::ELK1,MA1954.2,4.594,2.17e-06,3.12e-05
nt_splice_sites_all,6,vertebrates,FOXA2,MA0047.4,4.534,2.89e-06,4.09e-05
nt_splice_sites_all,6,vertebrates,POU2F3,MA0627.3,4.426,4.8e-06,6.67e-05
nt_splice_sites_all,6,vertebrates,ZNF784,MA1717.2,4.389,5.69e-06,7.79e-05
nt_splice_sites_all,6,vertebrates,Hmga1,MA2124.1,4.363,6.43e-06,8.66e-05
nt_splice_sites_all,6,vertebrates,ZNF558,MA2335.1,4.338,7.19e-06,9.54e-05
nt_splice_sites_all,6,vertebrates,FOXD1,MA0031.2,4.307,8.28e-06,0.000108
nt_splice_sites_all,6,vertebrates,Foxl2,MA1607.2,4.289,8.98e-06,0.000116
nt_splice_sites_all,6,vertebrates,ZNF766,MA2098.1,4.284,9.16e-06,0.000116
nt_splice_sites_all,6,vertebrates,GATA1,MA0035.5,4.278,9.42e-06,0.000118
nt_splice_sites_all,6,vertebrates,FOXI1,MA0042.2,4.267,9.91e-06,0.000122
nt_splice_sites_all,6,vertebrates,ELK4,MA0076.3,4.154,1.63e-05,0.000199
nt_splice_sites_all,6,vertebrates,TBX20,MA0689.1,4.091,2.15e-05,0.000258
nt_splice_sites_all,6,vertebrates,FOXD3,MA0041.3,4.054,2.52e-05,0.000298
nt_splice_sites_all,6,vertebrates,IKZF1,MA1508.2,4.041,2.66e-05,0.00031
nt_splice_sites_all,6,vertebrates,FOXD2,MA0847.4,4.023,2.87e-05,0.000331
nt_splice_sites_all,6,vertebrates,Arid3a,MA0151.1,3.979,3.45e-05,0.000392
nt_splice_sites_all,6,vertebrates,KLF13,MA0657.2,3.977,3.49e-05,0.000392
nt_splice_sites_all,6,vertebrates,Foxo1,MA0480.3,3.948,3.94e-05,0.000437
nt_splice_sites_all,6,vertebrates,STAT3,MA0144.3,3.934,4.18e-05,0.000453
nt_splice_sites_all,6,vertebrates,GATA2,MA0036.4,3.933,4.19e-05,0.000453
nt_splice_sites_all,6,vertebrates,BCL6B,MA0731.1,3.918,4.47e-05,0.000477
nt_splice_sites_all,6,vertebrates,FOXC1,MA0032.2,3.908,4.66e-05,0.000486
nt_splice_sites_all,6,vertebrates,RARA,MA0730.1,3.908,4.66e-05,0.000486
nt_splice_sites_all,6,vertebrates,INSM1,MA0155.1,3.903,4.74e-05,0.000489
nt_splice_sites_all,6,vertebrates,RREB1,MA0073.2,3.891,4.99e-05,0.000509
nt_splice_sites_all,6,vertebrates,RELB,MA1117.2,3.885,5.11e-05,0.000514
nt_splice_sites_all,6,vertebrates,STAT1::STAT2,MA0517.2,3.872,5.39e-05,0.000536
nt_splice_sites_all,6,vertebrates,RARA::RXRA,MA0159.1,3.853,5.82e-05,0.000573
nt_splice_sites_all,6,vertebrates,FOXP4,MA2117.1,3.85,5.91e-05,0.000576
nt_splice_sites_all,6,vertebrates,TEAD1,MA0090.4,3.836,6.25e-05,0.000602
nt_splice_sites_all,6,vertebrates,POU5F1B,MA0792.1,3.816,6.78e-05,0.000645
nt_splice_sites_all,6,vertebrates,Lef1,MA0768.3,3.809,6.97e-05,0.000657
nt_splice_sites_all,6,vertebrates,FOXA3,MA1683.2,3.806,7.05e-05,0.000657
nt_splice_sites_all,6,vertebrates,MSANTD3,MA1523.2,3.801,7.19e-05,0.000663
nt_splice_sites_all,6,vertebrates,Foxo3,MA0157.4,3.799,7.26e-05,0.000663
nt_splice_sites_all,6,vertebrates,FOXN3,MA1489.1,3.768,8.21e-05,0.000742
nt_splice_sites_all,6,vertebrates,ZNF281,MA1630.3,3.726,9.74e-05,0.00087
nt_splice_sites_all,6,vertebrates,FOXK1,MA0852.3,3.702,0.000107,0.000945
nt_splice_sites_all,6,vertebrates,FOXK2,MA1103.3,3.682,0.000116,0.00101
nt_splice_sites_all,6,vertebrates,FOXP1,MA0481.4,3.68,0.000117,0.00101
nt_splice_sites_all,6,vertebrates,FLI1::FOXI1,MA1950.2,3.66,0.000126,0.00108
nt_splice_sites_all,6,vertebrates,VAX1,MA0722.2,3.642,0.000135,0.00115
nt_splice_sites_all,6,vertebrates,POU2F1,MA0785.2,3.634,0.00014,0.00118
nt_splice_sites_all,6,vertebrates,NKX2-4,MA2003.2,3.601,0.000158,0.00132
nt_splice_sites_all,6,vertebrates,FOXO4,MA0848.1,3.597,0.000161,0.00133
nt_splice_sites_all,6,vertebrates,NFKB2,MA0778.2,3.592,0.000164,0.00134
nt_splice_sites_all,6,vertebrates,BCL6,MA0463.3,3.591,0.000165,0.00134
nt_splice_sites_all,6,vertebrates,Sox11,MA0869.3,3.578,0.000173,0.00139
nt_splice_sites_all,6,vertebrates,TCF7,MA0769.3,3.559,0.000186,0.00148
nt_splice_sites_all,6,vertebrates,SPIC,MA0687.2,3.549,0.000193,0.00153
nt_splice_sites_all,6,vertebrates,ZNF136,MA1588.1,3.505,0.000228,0.00178
nt_splice_sites_all,6,vertebrates,Stat6,MA0520.2,3.484,0.000247,0.00192
